기준년도,업종대분류명,업종중분류명,법인명,브랜드명,가맹점수,신규가맹점등록수,계약종료수,계약해지수,명변경수,평균매출금액,면적단위평균매출금액
2018,외식,기타 외식,(주)어판왕,어사출또,54,39,0,0,0,1224597,20026
2018,외식,기타 외식,(주)엉클컴퍼니,엉클부대찌개,4,4,0,0,0,0,0
2018,외식,기타 외식,(주)에스앤디코퍼레이션,산카이 이자카야,23,12,0,1,0,554779,14347
2018,외식,기타 외식,(주)에스에스에프앤비,신사소곱창,8,0,0,0,0,506578,30591
2018,외식,기타 외식,(주)에스에이치,단골손님,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)에스에프이노베이션,분짜라붐,20,20,0,0,0,1054225,20708
2018,외식,기타 외식,(주)에스엔알푸드,수누리,20,3,0,0,2,582366,13839
2018,외식,기타 외식,(주)에스엠제이컴퍼니,101번지 남산돈까스,2,0,0,1,0,0,0
2018,외식,기타 외식,(주)에스엠푸드,존슨식당,1,0,0,1,0,0,0
2018,외식,기타 외식,(주)에스엠푸드,통돼지두루치기한돈돈돈,8,8,0,1,0,127787,3219
2018,외식,기타 외식,(주)에스제이코리아,돈스락,30,11,0,5,0,204186,9019
2018,외식,기타 외식,(주)에스플러스에이치이,최한성돈까스,4,1,0,0,0,0,0
2018,외식,기타 외식,(주)에쎄레,에쎄레젤라또,6,2,0,0,0,235622,11059
2018,외식,기타 외식,(주)에이치에스푸드,홍스쭈꾸미,5,1,0,4,0,0,0
2018,외식,기타 외식,(주)에이치제이컴퍼니,오식야주육회관,6,7,0,1,0,294881,13253
2018,외식,기타 외식,(주)에이투지,이동근선산곱창.막창,7,2,0,0,1,535106,1646
2018,외식,기타 외식,(주)에이트,팔자막창,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)엘케이푸드,이씨식당,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)엘케이푸드,이태리반점,2,0,0,1,0,0,0
2018,외식,기타 외식,(주)엠제이오,쭈꾸미킹,2,2,0,0,0,0,0
2018,외식,기타 외식,(주)엠지알스토리푸드,스파게티스토리,18,6,0,0,0,0,0
2018,외식,기타 외식,(주)엠푸드에스엔시,노량진의 전설 미스사이공(miss420),221,112,0,7,13,266641,12817
2018,외식,기타 외식,(주)영광식품,김이박부대찌개앤스테이크,11,0,0,1,0,68389,1614
2018,외식,기타 외식,(주)영진에프앤씨,정릉서갈비,4,4,0,0,0,0,0
2018,외식,기타 외식,(주)예스미미,우리동네미미네,11,3,0,1,0,111751,19590
2018,외식,기타 외식,(주)예진희알이에프,바다양푼이 동태탕 찜,330,85,50,11,2,34952,1165
2018,외식,기타 외식,(주)오니규,오니기리와이규동,83,5,3,12,3,196632,16050
2018,외식,기타 외식,(주)오제이푸드,오장동흥남집,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)올모스트페이머스,칼리가리 박사의 밀실,7,7,0,0,0,412408,13746
2018,외식,기타 외식,(주)와이지인더스트리,쪽갈비전문점 예감,46,6,0,4,5,190389,8555
2018,외식,기타 외식,(주)와이푸드,노랑강정,3,0,0,0,0,550793,110695
2018,외식,기타 외식,(주)우리동네에프앤비,경성함바그,19,6,3,0,1,0,0
2018,외식,기타 외식,(주)우리집다음에맛있는집,우리집다음에맛있는집양평해장국,90,5,0,9,7,262179,5463
2018,외식,기타 외식,(주)우림에프씨,진송추어탕,23,8,0,2,0,302384,5205
2018,외식,기타 외식,(주)우석글로벌비즈,그린애플,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)우용에프앤비,지짐이,42,0,0,12,2,158472,6315
2018,외식,기타 외식,(주)우텐더코리아,우텐더(WOO TENDER),0,0,0,0,0,0,0
2018,외식,기타 외식,(주)웅자네푸드,웅이네 오돌뼈,38,11,0,0,5,285877,12175
2018,외식,기타 외식,(주)원더키친,퍼스트플로어,2,2,0,0,0,0,0
2018,외식,기타 외식,(주)월드베브릿지,베브릿지,3,3,0,0,0,0,0
2018,외식,기타 외식,(주)웰가코리아,하늘보리피자,54,2,0,3,5,95564,8291
2018,외식,기타 외식,(주)웰빙푸드에프씨,월남쌈김상사,29,6,2,0,4,609629,7555
2018,외식,기타 외식,(주)웰푸드시스템,우리제면소,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)위치,WITCH COFFEE &amp; Witch&#39;s Stick,43,27,0,12,4,56051,4061
2018,외식,기타 외식,(주)유생촌푸드,유생촌,14,3,1,1,0,1128875,12530
2018,외식,기타 외식,(주)유원에프앤비,삼육칠하우스,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)유천대가,유천냉면,18,0,1,0,7,266504,6933
2018,외식,기타 외식,(주)유캔에프씨,직화한상,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)육대장,육대장,185,52,4,13,7,508619,10927
